id,regulations,control,category,surface,tools,evidence,sectors,notes
r015,EU AI Act; AU AI Safety Std; OWASP LLM Top 10; MITRE ATLAS,Layered guardrails (input + output) tested adversarially,AI evals & guardrails,Runtime · AI gateway,"NVIDIA NeMo Guardrails (oss, NVIDIA); Guardrails AI (oss, Guardrails AI); AWS Bedrock Guardrails (managed, AWS); Azure AI Content Safety (managed, Azure); Lakera Guard (commercial, Lakera); Llama Guard (oss, Meta)",Guardrail policy version-controlled. Adversarial-prompt suite run weekly against guardrail (not against base model). False-negative + false-positive rate tracked. Per-incident postmortem when guardrail breached.,banks; government; healthcare; critical-infrastructure,Guardrails encoded in the system prompt = no guardrail. The control is a distinct layer that intercepts before & after the model.
r016,EU AI Act; ISO/IEC 42001,Per-decision audit evidence pack (LLM),AI evals & guardrails,Runtime · Storage,"Langfuse (with retention policy) (oss, Langfuse); LangSmith (commercial, LangChain); Helicone (oss, Helicone); OpenTelemetry (with GenAI semantic conventions) (oss, CNCF)","Per request: prompt, retrieved context, model + version, guardrails applied, output, latency, cost. Signed, immutable, retention-policy-controlled. Replay-able at any time.",banks; government; healthcare; critical-infrastructure,EU AI Act Art. 12 (logging) becomes operational evidence here. Without per-decision logs you cannot answer regulator's 'why did the model decide X for this customer'.
r017,EU AI Act; AU AI Safety Std,Human-in-loop for high-risk decisions,AI evals & guardrails,Runtime · UI,"Custom workflow engine + queue per domain (managed, —); Temporal (long-running approval) (oss, Temporal); ServiceNow workflows (commercial, ServiceNow); Camunda BPMN (oss, Camunda)","Trigger conditions documented (confidence threshold, risk tier, regulator-defined). Human reviewer queue with SLA. Audit trail showing human approval per decision.",banks; government; healthcare,"Art. 14 (human oversight) is operational, not declarative. 'A human can override' isn't oversight; 'a human must approve high-risk decisions' is."
r018,OWASP LLM Top 10; MITRE ATLAS,Prompt injection defence + red-team programme,AI evals & guardrails,Runtime · CI,"Garak (LLM red-team scanner) (oss, NVIDIA); PyRIT (oss, Microsoft); HiddenLayer AI Security (commercial, HiddenLayer); Robust Intelligence AI Validation (commercial, Robust Intelligence)",Quarterly red-team report with documented attack categories. Pre-deploy adversarial test suite. CVE-equivalent tracking for AI vulnerabilities found.,banks; government; healthcare; critical-infrastructure,OWASP LLM01 (prompt injection) is the most common attack vector; defending requires both input-side and output-side controls.
r019,EU AI Act; ISO/IEC 42001; NIST AI RMF,Model card + data card for production model,AI evals & guardrails,Documentation,"Hugging Face model cards (standard, Hugging Face); Google Model Card Toolkit (oss, Google); NVIDIA Model Card++ (oss, NVIDIA); Custom YAML schema in repo (managed, —)","Per model in production: model card (training data, eval results, intended use, limitations). Per dataset: data card (provenance, consent basis, refresh cadence). Both versioned with the model.",banks; government; healthcare; critical-infrastructure,EU AI Act technical documentation (Art. 11 / Annex IV) maps to model + data cards.
r020,APRA CPS 230; EU DORA; EU NIS2; SOCI Act 2018+,Documented + tested service-level recovery (RTO/RPO),Resilience & continuity,Operations,"AWS Resilience Hub (managed, AWS); Azure Site Recovery (managed, Azure); GCP Backup and DR Service (managed, GCP); Veeam (commercial, Veeam); Tabletop runbooks + game-day cadence (managed, —)",Per critical service: RTO + RPO defined. Recovery tested at least annually with timed result. Gap-to-target tracked. Multi-region failover rehearsed.,banks; government; healthcare; critical-infrastructure,CPS 230 (live in AU FS) requires this for every 'critical operation'. DORA RTS expects testing artefacts the regulator can review.
r021,APRA CPS 230; EU DORA; EU NIS2; US CIRCIA,Third-party / critical-vendor concentration tracking,Third-party risk,Operations · Vendor mgmt,"OneTrust Vendor Risk (commercial, OneTrust); ServiceNow VRM (commercial, ServiceNow); Whistic (commercial, Whistic); Internal spreadsheet with quarterly review (managed, —)",Vendor catalogue with criticality classification. Concentration risk (% of critical operations on one vendor) measured. Exit-plan for top-N critical vendors documented.,banks; critical-infrastructure,"DORA introduced critical ICT third-party designation (CTPP). APRA CPS 230 has equivalent material-service-provider rules. Both need real numbers, not 'we use AWS'."
r022,APRA CPS 230; EU DORA,Chaos engineering / failure injection in production,Resilience & continuity,Production,"AWS Fault Injection Service (managed, AWS); Chaos Mesh (oss, CNCF); Gremlin (commercial, Gremlin); Litmus (oss, CNCF); Steadybit (commercial, Steadybit)",Scheduled chaos experiments with documented blast radius. Hypothesis-driven (we expect X to happen; did it?). Postmortem when hypothesis was wrong.,banks; critical-infrastructure,DORA Art. 25 (threat-led penetration testing) implies dynamic resilience testing; chaos engineering is its operational analogue.
r023,EU NIS2; US CIRCIA; APRA CPS 234; SOCI Act 2018+,Fast incident reporting capability (≤72h),Incident response,Security operations,"PagerDuty (with regulator templates) (commercial, PagerDuty); FireHydrant (commercial, FireHydrant); Incident.io (commercial, Incident.io); Rootly (commercial, Rootly); Custom Slack workflow + templates (managed, —)",Pre-templated regulator-notification drafts (per regulator). Drill quarterly: time from detection to draft sent. Audit trail of incident decisions.,banks; government; critical-infrastructure,"US CIRCIA: 72h incident, 24h ransom payment. NIS2: 24h early-warning, 72h notification. SOCI 2018: critical infrastructure asset incidents 72h. The shape of the obligation is similar globally."
r024,ASD Essential 8; ISO/IEC 27001,Blameless postmortems for every Sev-1 + Sev-2,Incident response,Operations,"Notion / Confluence templates (commercial, Notion / Atlassian); PagerDuty Postmortems (commercial, PagerDuty); Jeli (acquired by PagerDuty) (commercial, PagerDuty); Howie (the post-incident guide) (oss, Jeli)","Postmortem published within 14 days of every Sev-1/2. Action items tracked with closure-SLA. Quarterly read-back: themes, contributing factors, systemic gaps.",all,Action items that don't close = postmortems that don't compound. Google SRE Workbook Chapter 10 is the canonical reference.
r025,ASD Essential 8; NIST SSDF (800-218); CISA SSA; APRA CPS 234; EU DORA; EU NIS2,Patching SLA for KEV-listed CVEs (≤14 days),Vulnerability management,Production,"CISA KEV catalog (free RSS/JSON feed) (standard, CISA); Tenable.io (commercial, Tenable); Qualys VMDR (commercial, Qualys); Wiz (commercial, Wiz); Aqua / Trivy + Dependency-Track for SBOM-driven (oss, Aqua / OWASP)","Per-CVE: detection time, patch-deployed time. MTTR for KEV-class trending below 14 days. Out-of-SLA list (in writing, with owner) for any gap.",all,CISA KEV is the actually-exploited subset; far better priority than CVSS-score alone.
r026,ASD Essential 8; HIPAA; ISO/IEC 27001; NIST SP 800-53,"Tamper-evident, centralised, queryable audit logs",Audit & logging,All services,"AWS CloudTrail + CloudWatch Logs Insights (managed, AWS); Azure Monitor + Sentinel (managed, Azure); GCP Cloud Audit Logs (managed, GCP); Splunk (commercial, Splunk); Datadog Audit Trail (commercial, Datadog); Loki + Grafana (oss, Grafana Labs)","Per audit event: who, what, when, source. Retention per regulator (HIPAA 6 years; GDPR variable). Immutability proof (object-lock / write-once / hash-chain).",all,Local log files don't pass audit. Centralised + tamper-evident is the baseline.
r027,PCI DSS 4.0; HIPAA; ISO/IEC 27001,TLS 1.3 everywhere (no fallback to TLS 1.0/1.1),Cryptography & secrets,Network,"AWS ACM + ELB cipher policies (managed, AWS); Cloudflare TLS settings (managed, Cloudflare); Mozilla SSL Config Generator (oss, Mozilla); testssl.sh (oss, Drwetter); Wireshark + Zeek for traffic verification (oss, —)",External scan (Qualys SSL Labs / testssl) showing A+ grade. Cipher allow-list documented. Audit log of any TLS-version-downgrade attempts.,all,PCI DSS 4.0 explicitly requires TLS 1.2+ (not 1.0/1.1) since 30 March 2025.
r028,PCI DSS 4.0; HIPAA; ISO/IEC 27001,Per-customer / per-tenant KMS keys (BYOK or CMK),Cryptography & secrets,Data plane,"AWS KMS (with per-tenant CMK) (managed, AWS); GCP Cloud KMS / EKM (managed, GCP); Azure Key Vault Managed HSM (managed, Azure); HashiCorp Vault Transit secrets engine (oss, HashiCorp)",Per-tenant key inventory. Key-rotation cadence enforced. Key-deletion as a real operation (crypto-shredding for tenant offboarding).,banks; healthcare; government,BYOK only meaningful if you can demonstrate the key is exclusive to one tenant and rotated independently.
r029,ISO/IEC 27001; NIST SP 800-53,Secret scanning + auto-revocation in CI,Cryptography & secrets,Source · CI/CD,"GitGuardian (commercial, GitGuardian); GitHub Advanced Security secret scanning (managed, GitHub); Trufflehog (oss, Truffle Security); AWS IAM Access Analyzer unused-key (managed, AWS); HashiCorp Vault leases (auto-revoke) (oss, HashiCorp)",Pre-commit + push-time + retroactive scanning. Detected-secret-to-revocation MTTR. Quarterly retroactive scan of all repos.,all,A leaked secret rotated in 30 days is a breach. Auto-revocation pipeline matters more than detection.
r030,APRA CPS 230; ISO/IEC 27001; NIST SP 800-53,Progressive deployment / blast-radius reduction,Change & release management,Release pipeline,"ArgoCD (with rollouts) (oss, CNCF); Flagger (oss, Flux); LaunchDarkly (commercial, LaunchDarkly); Statsig (commercial, Statsig); Spinnaker (oss, Spinnaker); AWS CodeDeploy linear/canary (managed, AWS)",Per service: deployment shape (canary % · linear N-min · blue-green). Auto-rollback metrics defined. Recent rollback events with timing.,all,Big-bang prod deploys are a CPS 230 finding-in-waiting. Progressive deployment with auto-rollback is the operational standard.
r031,ASD Essential 8; NIST SP 800-53; ISO/IEC 27001,Application allowlisting (no unsigned code execution in prod),Change & release management,Endpoint · Server,"Microsoft AppLocker / WDAC (managed, Microsoft); VMware Carbon Black App Control (commercial, VMware); AWS Bottlerocket (immutable AMI) (managed, AWS); OpenSCAP profiles (oss, OpenSCAP)",Endpoint policy export. Test execution of unsigned binary must be blocked. Exception list with owner + expiry.,government; critical-infrastructure,E8 ML2+ requires application control. Hard to retrofit; bake into golden image / paved path.
r032,APRA CPS 230; EU DORA; EU NIS2; NIST SP 800-53,"Inherited golden signals (latency, traffic, errors, saturation)",Observability,All services,"OpenTelemetry (auto-instrumentation) (oss, CNCF); Datadog APM (commercial, Datadog); Grafana Tempo + Mimir + Loki (oss, Grafana Labs); Honeycomb (commercial, Honeycomb); New Relic (commercial, New Relic)",Per service: 4 golden signals dashboard inherited from paved path. SLO + error-budget per critical service. Alert quality (actionable-rate) ≥70%.,all,Inherited (paved path) beats per-team-set-up-their-own. The control is consistency across the fleet.
r033,ISO/IEC 27001; NIST SP 800-53,SIEM / SOC integration with detection-as-code,Observability,Security operations,"Microsoft Sentinel (KQL detection) (managed, Microsoft); Splunk Enterprise Security (commercial, Splunk); Panther (commercial, Panther); Elastic Security (commercial, Elastic); Sigma rules + sigma-cli (oss, Sigma project)",Detection rules in git. PR-reviewed. CI-tested against historical events. Rule effectiveness reviewed monthly.,all,Detection-as-code beats SIEM-managed-by-vendor. Treats security like the engineering practice it is.
r034,NIST SP 800-53; ISO/IEC 27001; IEC 62443,Network segmentation between IT and OT zones,Workload isolation,Network,"Cisco TrustSec / ISE (commercial, Cisco); Palo Alto Networks NGFW with zones (commercial, Palo Alto); Illumio (zero-trust segmentation) (commercial, Illumio); Industrial DMZ + jump hosts (managed, —); Microsoft Defender for IoT (commercial, Microsoft)",Zone-and-conduit model documented (per IEC 62443-3-2). Inter-zone traffic logged. Conduits monitored. Unauthorised flow alerts.,critical-infrastructure,IEC 62443 zone-and-conduit model is now the de-facto bar for OT/ICS environments. SOCI 2022 SLACIP-amendment audits ask after this.
r035,NIST SP 800-53; ISO/IEC 27001,Service mesh mTLS between microservices,Workload isolation,K8s · Network,"Istio (oss, CNCF); Linkerd (oss, CNCF); HashiCorp Consul Connect (oss, HashiCorp); AWS App Mesh (managed, AWS); Cilium Service Mesh (oss, Cilium)",100% intra-cluster traffic encrypted (mesh dashboard). Strict mTLS mode (no plaintext fallback). Cert rotation cadence.,banks; healthcare; government,Service mesh is real platform investment. Adopt if 20+ services and a platform team; defer otherwise.
r036,NIST SP 800-53; ISO/IEC 27001; PCI DSS 4.0,Production workload runs without privileged escalation,Workload isolation,K8s · Container,"Kyverno (disallow-privileged) (oss, Kyverno); OPA Gatekeeper PSS profiles (oss, OPA); Falco runtime detection (oss, CNCF); Pod Security Standards: restricted (standard, Kubernetes); Bottlerocket / gVisor for sandboxing (oss, AWS / Google)",Admission policy enforcing restricted PSS profile. No privileged: true in production. Exception list with owner + expiry.,all,Default-deny privileged execution; allow only with explicit exception. This is the bar Kubernetes Pod Security Standards 'restricted' enforces.
r037,ISO/IEC 27001; NIST SP 800-53; APRA CPS 234,Quarterly user-access review (UAR) with attestation,Access reviews,Identity,"Okta Access Certifications (commercial, Okta); SailPoint IdentityNow (commercial, SailPoint); Microsoft Entra Access Reviews (managed, Microsoft); AWS IAM Access Analyzer (last-used) (managed, AWS)",Per quarter: every privileged user reviewed by a manager. Review evidence signed. Revocations logged with timing.,banks; government; healthcare,"Manual UARs by spreadsheet collapse at scale. The control needs an attestation engine, not a Friday-afternoon Excel."
r038,APRA CPS 230; SOCI Act 2018+,Critical operation register with substitutability analysis,Operational risk,Risk function,"ServiceNow Operational Risk (commercial, ServiceNow); Custom register in confluence / wiki (managed, —); Riskonnect (commercial, Riskonnect)",Critical operations enumerated. Per operation: substitute (manual / backup / contracted alternative) tested. Tolerance for disruption set.,banks; critical-infrastructure,CPS 230 explicitly requires this. The 'tolerance for disruption' is the regulator's pet metric.
r039,HIPAA,Business Associate Agreement (BAA) with every PHI handler,Third-party risk,Vendor mgmt,"OneTrust BAA module (commercial, OneTrust); DocuSign + central BAA registry (commercial, DocuSign); AWS BAA (signed) (managed, AWS); GCP BAA (signed) (managed, GCP); Azure BAA (signed) (managed, Azure)",BAA registry. Every vendor processing PHI on signed BAA. Annual review. Termination + data-return clauses tested.,healthcare,Major cloud providers offer pre-signed BAAs; smaller vendors often forgotten and become the audit finding.
r040,FDA SaMD; ISO 13485; IEC 62304,Post-market surveillance (PMS) plan for SaMD,AI evals & guardrails,Documentation · Operations,"Greenlight Guru QMS (commercial, Greenlight Guru); Matrix Requirements (commercial, Matrix); Custom QMS in confluence + git (managed, —)",PMS plan document. Adverse-event capture mechanism. Periodic safety update report (PSUR) cadence. Field-action procedure tested.,healthcare,FDA expects PMS for any clinical AI. Maps to ISO 14971 risk management.
r041,ASD Essential 8; ISO/IEC 27001; NIST SP 800-53,Infrastructure-as-code with plan-time policy check,Change & release management,CI/CD,"Terraform + Conftest/OPA (oss, HashiCorp + OPA); Pulumi + Policy-as-Code (commercial, Pulumi); Checkov (oss, Bridgecrew (Palo Alto)); tfsec / Trivy IaC (oss, Aqua Security); AWS CloudFormation Guard (managed, AWS)","Every infra change via PR. Plan-time policy check blocks bad configs (public S3, root-account use, untagged resources). Out-of-band changes alerted.",all,ClickOps in production = audit finding. IaC + plan-time policy is the bar.
r042,NIST SP 800-53; ISO/IEC 27001,Drift detection (cloud config matches IaC source-of-truth),Change & release management,Cloud · Tooling,"AWS Config Rules (managed, AWS); Azure Policy compliance (managed, Azure); GCP Asset Inventory + policy (managed, GCP); Driftctl (oss, Snyk); Terraform Cloud / Enterprise drift detection (commercial, HashiCorp)","Daily / hourly drift report. Out-of-IaC changes alerted to owner. Closed-loop: drift → patched in code + applied, not patched in cloud alone.",all,Drift accumulates silently. Detection alone is necessary but not sufficient — the loop must close back to code.
r043,APRA CPS 230,Per-service / per-tenant cost attribution,Operational risk,Cloud · FinOps,"AWS Cost Categories + CUR (managed, AWS); GCP Billing reports + labels (managed, GCP); Azure Cost Management + tags (managed, Azure); Vantage (commercial, Vantage); OpenCost / Kubecost (oss, FinOps Foundation)",Per service / per tenant cost trend monthly. Cost spike (>30%) triggers owner alert. Cost-per-resolved-task / cost-per-transaction trending.,all,"CPS 230 doesn't name cost explicitly, but financial sustainability of critical operations is in scope. FinOps Foundation Framework is the operational substrate."
r044,ISO/IEC 27001; NIST SP 800-53,Crypto-agility plan (PQC transition readiness),Cryptography & secrets,Engineering,"Open Quantum Safe (liboqs) (oss, OQS Project); AWS KMS PQC support (managed, AWS); CryptoNext Security (commercial, CryptoNext); NIST PQC standards (ML-KEM, ML-DSA, SLH-DSA) (standard, NIST)",Crypto inventory (where is asymmetric crypto used). PQC transition plan with milestones. Pilot with hybrid (classical + PQC) on one critical path.,banks; government; critical-infrastructure,NIST finalised PQC standards Aug 2024 (FIPS 203/204/205). Regulators are starting to ask about transition plans.
r045,EU AI Act; ISO/IEC 42001,AI risk classification + impact assessment,AI evals & guardrails,Governance,"Custom risk-classification template (managed, —); Credo AI (commercial, Credo AI); Holistic AI (commercial, Holistic AI); Microsoft Responsible AI Impact Assessment (managed, Microsoft)",Per AI use-case: risk tier (per EU AI Act + internal taxonomy). Impact assessment signed. Review cadence + trigger events.,banks; government; healthcare; critical-infrastructure,EU AI Act Art. 9 (risk management system). NIST AI RMF MAP function. ISO 42001 Annex A.6.1.
r046,EU AI Act; ISO/IEC 42001,Data poisoning + model-supply-chain controls,AI evals & guardrails,ML pipeline,"Hugging Face model scanning (Picklescan) (oss, Hugging Face); Protect AI Guardian (model scanning) (commercial, Protect AI); ML-BOM (CycloneDX ML extension) (standard, CycloneDX); MLflow model registry with sigstore (oss, Linux Foundation)",All models scanned for serialised-code exploits. ML-BOM published per model. Training-data provenance documented.,banks; government; healthcare; critical-infrastructure,Pickle files in shared model registries are an active attack surface. ML-supply-chain is the new software-supply-chain.
r047,BCBS 239,Risk data aggregation traceability (BCBS 239),Data governance,Risk data platform,"Solidatus (commercial, Solidatus); Manta (commercial, IBM Manta); OpenLineage + dbt (oss, LF AI & dbt Labs); Collibra (commercial, Collibra)",Risk report → upstream system traceable. Adjustments logged. Materiality of each manual override classified.,banks,"G-SIBs were given BCBS 239 in 2013, due 2016, mostly still failing 2024 (BCBS reviews are public). The substrate is the gap, not the regulation."
r048,IRAP,Sovereign cloud region with assessed controls,Workload isolation,Cloud,"AWS Sydney Region (IRAP-assessed) (managed, AWS); Azure Sydney + Canberra regions (IRAP-assessed) (managed, Azure); GCP Sydney + Melbourne regions (IRAP-assessed) (managed, GCP); Vault / sovereign IaaS (specific deployments) (commercial, Vault Cloud)",IRAP assessment letter from provider. Workload placement policy. Data egress controls preventing cross-region routing.,government,Up to PROTECTED on assessed regions; SECRET typically on sovereign-only platforms.
r049,ASD Essential 8; ISO/IEC 27001,Immutable backups with offline / air-gapped copy,Resilience & continuity,Backup infrastructure,"AWS Backup + Vault Lock (managed, AWS); Azure Backup immutable vault (managed, Azure); GCP Backup and DR Service (managed, GCP); Veeam (immutable repository) (commercial, Veeam); MinIO with object locking (oss, MinIO)",Backup inventory + retention. Restore test quarterly. Immutability window > regulator-defined retention. Air-gap proven via network path test.,all,E8 ML2+ requires immutable + tested backups. Ransomware resilience is the underlying threat.
r050,EU GDPR; AU Privacy Act,Granular consent capture + revocation propagation,Data governance,Frontend · backend,"OneTrust Cookie Consent (commercial, OneTrust); Cookiebot (commercial, Usercentrics); Custom consent management with audit log (managed, —); Transcend Consent Management (commercial, Transcend)",Consent capture audit log per user. Revocation triggers downstream-system removal within N hours. Granularity matches actual purposes (not 'accept all').,all,Cookie banner alone doesn't satisfy. The control is propagation of revocation to every downstream consumer.
r051,NIST SP 800-53; ISO/IEC 27001; ASD Essential 8,Zero-trust network access (replace VPN),Identity & access,Network · Identity,"Cloudflare Zero Trust (commercial, Cloudflare); Zscaler ZPA (commercial, Zscaler); Tailscale (commercial, Tailscale); Twingate (commercial, Twingate); Google BeyondCorp Enterprise (commercial, Google); AWS Verified Access (managed, AWS)",VPN decommissioning roadmap (or done). Per-app access tied to identity + device posture. Audit log per access decision.,all,"Always-on VPN is the legacy. ZTNA per-app, per-identity, per-posture is the bar."
r052,ISO/IEC 27001,DNSSEC + CAA records + MTA-STS,Cryptography & secrets,DNS · Email,"Cloudflare DNS (DNSSEC, CAA) (managed, Cloudflare); AWS Route 53 (DNSSEC) (managed, AWS); Hardenize.com (audit) (oss, Red Sift); internet.nl (audit) (oss, Internet.nl)",DNSSEC validated externally. CAA records limit cert issuance. SPF + DKIM + DMARC at p=reject. MTA-STS published.,all,Often skipped because 'we have HTTPS'; the DNS + email-auth controls close a different attack class.
